Предприятие;
Объект;
Вид оборудования;
Дисп. наименование;
Тип;
Зав. номер;
Сер. номер;
Год выпуска;
Год ввода в эксплуатацию;
Дата отбора пробы;
Марка пробы;
Температура пробы;
DATE ;TIME ;TS_TEMP ;PROB_TEMP ;PROB_OTN_VL ;PROBE_VlAGOSOD ;SP ;STATUS ; 
20251208;12:45:17;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:45:22;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:45:27;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:45:32;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:45:37;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:45:42;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:45:47;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:45:52;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:45:57;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:46:02;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:46:07;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:46:12;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:46:18;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:46:23;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:46:28;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:46:33;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:46:38;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:46:43;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:46:48;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:46:53;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:46:58;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:47:03;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:47:08;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:47:13;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:47:18;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:47:23;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:47:28;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:47:33;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:47:38;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:47:43;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:47:48;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:47:53;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:47:58;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:48:03;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:48:08;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:48:13;-0,5;0,0;0,0;0,0;50,0;Подготовка;
20251208;12:48:18;-0,5;0,0;0,0;0,0;50,0;Подготовка;
